,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,0.0,0.0017,0.0,0.0162,0.0064,0.0713,0.0004,0.1532,0.0,0.2875,0.0028,0.0487,0.0539,0.0585,0.0,0.1764,0.0012,0.0266,0.0666,0.0286
1,0.0,0.9855,0.0,0.0,0.0,0.0,0.0008,0.0,0.0047,0.0,0.0011,0.0,0.0008,0.0006,0.0006,0.0,0.0006,0.0,0.0,0.0004,0.0049
2,0.0,0.0,0.9877,0.0,0.0001,0.0001,0.0011,0.0,0.002,0.0,0.0032,0.0,0.0007,0.0006,0.0007,0.0,0.002,0.0,0.0004,0.0009,0.0003
3,0.0,0.0,0.0017,0.0,0.0208,0.0069,0.0705,0.0005,0.162,0.0,0.285,0.002,0.0562,0.0579,0.0467,0.0,0.1714,0.0024,0.0253,0.0621,0.0287
4,0.0,0.0,0.0,0.0,0.9976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0012,0.0,0.0,0.0,0.0,0.0007,0.0
5,0.0,0.0,0.0,0.0,0.0,0.9876,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0111,0.0003,0.0002,0.0,0.0002,0.0,0.0,0.0002,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.9163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0837,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0336,0.0124,0.0,0.0006,0.0005,0.0097,0.0008,0.7456,0.0,0.0111,0.0,0.0957,0.0616,0.002,0.0,0.0066,0.0009,0.01,0.0031,0.0058
9,0.0,0.0,0.0016,0.0,0.0157,0.007,0.07,0.0005,0.1612,0.0,0.2827,0.002,0.0569,0.0581,0.0558,0.0,0.1722,0.0016,0.0249,0.0628,0.0272
10,0.0,0.0001,0.0008,0.0,0.0088,0.0116,0.0437,0.0006,0.1783,0.0,0.2897,0.0004,0.1195,0.103,0.0367,0.0,0.1134,0.0039,0.0202,0.0444,0.0249
11,0.0,0.0,0.0003,0.0,0.2888,0.0017,0.0265,0.0002,0.0456,0.0,0.0984,0.0013,0.0348,0.0249,0.3617,0.0,0.0565,0.0062,0.0138,0.0324,0.0068
12,0.0,0.0001,0.0,0.0,0.0003,0.032,0.0024,0.0006,0.0324,0.0,0.0052,0.0,0.7313,0.0229,0.0016,0.0,0.0035,0.0002,0.1608,0.0018,0.0049
13,0.0,0.0002,0.0001,0.0,0.0011,0.0005,0.0048,0.0002,0.0342,0.0,0.0165,0.0001,0.0514,0.833,0.0035,0.0,0.0101,0.0002,0.0382,0.0042,0.0016
14,0.0,0.0,0.0,0.0,0.0008,0.0,0.0002,0.0,0.0003,0.0,0.0002,0.0,0.0013,0.0006,0.852,0.0,0.0002,0.1433,0.0001,0.001,0.0
15,0.0,0.0,0.0016,0.0,0.0149,0.008,0.0687,0.0005,0.1601,0.0,0.2779,0.0019,0.0601,0.058,0.0546,0.0,0.1711,0.0013,0.0309,0.0623,0.028
16,0.0,0.0,0.0011,0.0,0.0115,0.0087,0.0597,0.0005,0.1656,0.0,0.2766,0.0006,0.085,0.0774,0.0442,0.0,0.1676,0.0015,0.0228,0.0539,0.0231
17,0.0,0.0,0.0001,0.0,0.009,0.0005,0.0087,0.0001,0.0198,0.0,0.018,0.0002,0.0113,0.0063,0.053,0.0,0.0162,0.8413,0.0033,0.0081,0.0041
18,0.0,0.0,0.0001,0.0,0.0009,0.0044,0.0039,0.0003,0.0105,0.0,0.0157,0.0001,0.056,0.0048,0.0031,0.0,0.0099,0.0001,0.8848,0.0039,0.0014
19,0.0,0.0,0.0006,0.0,0.0089,0.0032,0.0395,0.0003,0.0727,0.0,0.1228,0.0006,0.035,0.0295,0.0322,0.0,0.0859,0.0011,0.0168,0.5387,0.0121
20,0.0,0.0001,0.0004,0.0,0.0043,0.0199,0.0315,0.0003,0.0449,0.0,0.1036,0.0002,0.0375,0.0288,0.0195,0.0,0.0692,0.0008,0.0192,0.0251,0.5948
