modelo,seed,run_level_f1_macro,run_level_acuracia,run_level_mcc,n_runs,rotulo_run_acuracia,rotulo_run_f1_macro,rotulo_run_mcc
regressao_logistica,42,0.5251160705014849,0.548,0.5982021612557695,10500,0.4315781746031746,0.4171780154760124,0.4564103548776393
regressao_logistica,123,0.5251160705014849,0.548,0.5982021612557695,10500,0.4315781746031746,0.4171780154760124,0.4564103548776393
regressao_logistica,2024,0.5251160705014849,0.548,0.5982021612557695,10500,0.4315781746031746,0.4171780154760124,0.4564103548776393
regressao_logistica,7,0.5251160705014849,0.548,0.5982021612557695,10500,0.4315781746031746,0.4171780154760124,0.4564103548776393
regressao_logistica,555,0.5251160705014849,0.548,0.5982021612557695,10500,0.4315781746031746,0.4171780154760124,0.4564103548776393
arvore_decisao,42,0.8334906265403121,0.8537142857142858,0.8560074888078999,10500,0.6212756944444444,0.6665747874191646,0.6047266320370207
arvore_decisao,123,0.8325356976754227,0.853047619047619,0.8553872225594968,10500,0.6211380952380953,0.6664252085660902,0.6045817339297059
arvore_decisao,2024,0.8337949820264279,0.8540952380952381,0.8564281807854869,10500,0.621384126984127,0.6666722996437185,0.604841270717502
arvore_decisao,7,0.8327279591904584,0.8532380952380952,0.8555172059804438,10500,0.6211125,0.6664212073807365,0.6045577838869015
arvore_decisao,555,0.8329624808920063,0.8534285714285714,0.8557490160600505,10500,0.6212847222222222,0.6665811164702223,0.6047383164007634
random_forest,42,0.832967250194371,0.8570476190476191,0.8611438848678178,10500,0.6598284722222222,0.7076098625160235,0.64785911148803
random_forest,123,0.8341975415432369,0.8577142857142858,0.8617736840031553,10500,0.6595626984126984,0.7072334643085425,0.6475102466845384
random_forest,2024,0.8336524475492959,0.8572380952380952,0.8612349974389668,10500,0.6599371031746032,0.7077299458903972,0.6479811247282727
random_forest,7,0.834092281486669,0.857904761904762,0.8621033250672668,10500,0.6598244047619047,0.707598595808864,0.6478134688146103
random_forest,555,0.8336645379668353,0.8573333333333333,0.8613203780155646,10500,0.659790873015873,0.7075391039416462,0.6478132269597623
gradient_boosting,42,0.8463804529856712,0.8654285714285714,0.8685971872898921,10500,0.6281824404761904,0.6683831918879679,0.6139648683411949
gradient_boosting,123,0.8498256087494327,0.8689523809523809,0.8721071874540965,10500,0.6392521825396825,0.6798237200143411,0.626199723141289
gradient_boosting,2024,0.8437988070841168,0.8650476190476191,0.8671505517790377,10500,0.5535801587301588,0.5957758842649046,0.5390903097520297
gradient_boosting,7,0.8473274167839,0.8663809523809524,0.8691900440712916,10500,0.6280212301587301,0.6699195275626111,0.6142398035575148
gradient_boosting,555,0.7662323143451689,0.8041904761904762,0.8072543957400704,10500,0.4756948412698413,0.5276195781471964,0.4584415495545194
xgboost,42,0.8565729559373829,0.8732380952380953,0.8757667258200128,10500,0.6806664682539683,0.7291370842344667,0.6693609266003334
xgboost,123,0.8553570717694912,0.8724761904761905,0.8752014669115199,10500,0.6804110119047619,0.7289557002785693,0.6691175921082636
xgboost,2024,0.8559091345959314,0.8729523809523809,0.8755369306306037,10500,0.6808176587301588,0.729317116018912,0.6695744530558805
xgboost,7,0.8576810496958697,0.8740952380952381,0.8766509742616777,10500,0.6808165674603175,0.729306261956147,0.6695012303681074
xgboost,555,0.8578065938635413,0.8743809523809524,0.8769314570262823,10500,0.6808395833333334,0.7293861560185659,0.6695757155445815
svm_nystroem,42,0.607250178275929,0.659047619047619,0.6782568075751632,10500,0.49245634920634923,0.4496698473864436,0.4799563070234092
svm_nystroem,123,0.6602724155665054,0.7012380952380952,0.7187777085136141,10500,0.49549940476190474,0.481262432052334,0.4851267780760732
svm_nystroem,2024,0.6690473014798807,0.7032380952380952,0.7264477281078142,10500,0.5102084325396825,0.49726711535367485,0.5157709568124494
svm_nystroem,7,0.6040481246887425,0.6572380952380953,0.6763163896718927,10500,0.4853859126984127,0.42986623424841464,0.4714565742777582
svm_nystroem,555,0.6204589031105849,0.6566666666666666,0.685702737123063,10500,0.5074909722222222,0.50609019148126,0.5122108911661915
