n_components,alpha,f1_macro,mcc,tempo_s
200,1e-05,0.5833272892814465,0.560522320631686,11.9
200,0.0001,0.5338404321989471,0.5507904969050066,11.7
500,1e-05,0.6304611105796154,0.6043996735238479,23.7
500,0.0001,0.5712939077483022,0.5852350966340436,25.5
1000,1e-05,0.6152166799874481,0.6026309825285183,49.8
1000,0.0001,0.5912488950100153,0.5974883957146644,47.1
