seed,regressao_logistica,arvore_decisao,random_forest,gradient_boosting,xgboost,svm_nystroem
7,0.5530446541692656,0.6563576736201489,0.728693835563499,0.6935993009662877,0.7494490098951188,0.47814423560469393
42,0.5530446541692656,0.6565136105541934,0.7286871875733361,0.6918091319287123,0.749349823735431,0.4867645379575446
123,0.5530446541692656,0.6563727136236305,0.7278256146740717,0.7069580520707244,0.7492385792609754,0.49200835268847615
555,0.5530446541692656,0.6565486489637091,0.728790351243173,0.5275598552036918,0.7499620918133707,0.5194766567848703
2024,0.5530446541692656,0.6566258688116164,0.7289826196311878,0.604267202168043,0.7499414989013833,0.5230872223385276
