,run_level_f1_macro,run_level_f1_macro,run_level_acuracia,run_level_acuracia,run_level_mcc,run_level_mcc,rotulo_run_acuracia,rotulo_run_acuracia,rotulo_run_f1_macro,rotulo_run_f1_macro,rotulo_run_mcc,rotulo_run_mcc
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Regressão Logística,0.5251,0.0,0.548,0.0,0.5982,0.0,0.4316,0.0,0.4172,0.0,0.4564,0.0
Árvore de Decisão,0.8331,0.0005,0.8535,0.0004,0.8558,0.0004,0.6212,0.0001,0.6665,0.0001,0.6047,0.0001
Random Forest,0.8337,0.0005,0.8574,0.0004,0.8615,0.0004,0.6598,0.0001,0.7075,0.0002,0.6478,0.0002
Gradient Boosting,0.8307,0.0361,0.854,0.0279,0.8569,0.0278,0.5849,0.07,0.6283,0.0656,0.5704,0.0715
XGBoost,0.8567,0.0011,0.8734,0.0008,0.876,0.0007,0.6807,0.0002,0.7292,0.0002,0.6694,0.0002
SVM (Nyström),0.6322,0.0304,0.6755,0.0244,0.6971,0.0237,0.4982,0.0104,0.4728,0.0322,0.4929,0.0199
