,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.9319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0321,0.0016,0.0,0.0,0.0,0.0,0.0001,0.0,0.0053
1,0.0056,0.9892,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.002,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.001
2,0.0164,0.0,0.9825,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
3,0.9244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0308,0.0,0.0,0.0,0.0374,0.0018,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0054
4,0.0008,0.0,0.0,0.0,0.9981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
5,0.0076,0.0,0.0,0.0,0.0,0.9851,0.0,0.0,0.0003,0.0,0.0,0.0,0.0058,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0005
6,0.0001,0.0,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.2631,0.0355,0.0338,0.0,0.0001,0.0,0.0,0.0,0.4534,0.0,0.0,0.0,0.082,0.1177,0.0001,0.0,0.0002,0.0048,0.0013,0.0,0.0079
9,0.9266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0308,0.0,0.0,0.0,0.0352,0.0019,0.0,0.0,0.0,0.0,0.0002,0.0,0.0053
10,0.8447,0.0001,0.0,0.0,0.0004,0.0,0.0,0.0,0.0332,0.0,0.015,0.0,0.0648,0.0265,0.0,0.0,0.0,0.0001,0.0049,0.0,0.0102
11,0.6203,0.0,0.0,0.0,0.2816,0.0,0.0,0.0,0.0248,0.0,0.0,0.0039,0.0208,0.0078,0.0,0.0,0.0,0.0311,0.0001,0.0,0.0096
12,0.2214,0.0014,0.0002,0.0,0.0022,0.0747,0.0,0.0,0.1276,0.0,0.0001,0.0,0.3086,0.1282,0.0,0.0,0.0008,0.0041,0.1148,0.0,0.0158
13,0.1897,0.0026,0.0012,0.0,0.0043,0.0052,0.0,0.001,0.1133,0.0,0.0,0.0001,0.1307,0.5219,0.0,0.0,0.0021,0.0045,0.0168,0.0,0.0066
14,0.5513,0.0012,0.0,0.0,0.1233,0.0,0.0,0.0,0.0216,0.0,0.0,0.0,0.0205,0.0011,0.0,0.0,0.0,0.276,0.0001,0.0,0.0049
15,0.9263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0353,0.0019,0.0,0.0,0.0,0.0,0.0002,0.0,0.0054
16,0.6625,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0382,0.0,0.0001,0.0,0.014,0.2804,0.0,0.0,0.001,0.0,0.0001,0.0,0.0036
17,0.1463,0.0,0.0,0.0,0.0241,0.0,0.0,0.0,0.005,0.0,0.0,0.0001,0.0114,0.0003,0.0,0.0,0.0,0.8103,0.0,0.0,0.0026
18,0.0584,0.0001,0.0002,0.0,0.0,0.0518,0.0,0.0,0.0064,0.0,0.0,0.0,0.0176,0.0029,0.0,0.0,0.0,0.0001,0.8612,0.0,0.0013
19,0.8298,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0432,0.0,0.0,0.0,0.0641,0.0269,0.0,0.0,0.0,0.0001,0.0116,0.0,0.0236
20,0.1629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0,0.0,0.0,0.0154,0.0009,0.0,0.0,0.0,0.0,0.0001,0.0,0.8182
