modelo,seed,params,n_treino,n_teste,tempo_treino_s,tempo_inferencia_total_s,tempo_inferencia_por_amostra_us,tamanho_modelo_bytes,pico_memoria_MB,acuracia,acuracia_balanceada,f1_macro,f1_ponderada,mcc,hardware,n_jobs,rotulo_run_acuracia,rotulo_run_f1_macro,rotulo_run_mcc,n_iter,max_iter,modelo_nome
regressao_logistica,2024,{'C': 10.0},1050000,10080000,137.48,1.11,0.11,6445,978.2,0.57914375,0.508589423076923,0.4748833035126732,0.4885486460524724,0.5530446541692656,Apple M3 8GB (4P+4E),4,0.4315781746031746,0.4171780154760124,0.4564103548776393,841.0,5000.0,Regressão Logística
regressao_logistica,42,{'C': 10.0},1050000,10080000,127.83,1.13,0.113,6445,1498.3,0.57914375,0.508589423076923,0.4748833035126732,0.4885486460524724,0.5530446541692656,Apple M3 8GB (4P+4E),4,0.4315781746031746,0.4171780154760124,0.4564103548776393,841.0,5000.0,Regressão Logística
regressao_logistica,555,{'C': 10.0},1050000,10080000,167.1,1.8,0.179,6445,1042.0,0.57914375,0.508589423076923,0.4748833035126732,0.4885486460524724,0.5530446541692656,Apple M3 8GB (4P+4E),4,0.4315781746031746,0.4171780154760124,0.4564103548776393,841.0,5000.0,Regressão Logística
regressao_logistica,7,{'C': 10.0},1050000,10080000,142.76,1.95,0.194,6445,1062.8,0.57914375,0.508589423076923,0.4748833035126732,0.4885486460524724,0.5530446541692656,Apple M3 8GB (4P+4E),4,0.4315781746031746,0.4171780154760124,0.4564103548776393,841.0,5000.0,Regressão Logística
svm_nystroem,123,"{'n_components': 500, 'alpha': 1e-05}",1050000,10080000,56.35,23.31,2.313,1172483,1610.8,0.48756289682539683,0.5850754761904763,0.5216928426221614,0.43474403551846785,0.49200835268847615,Apple M3 8GB (4P+4E),4,0.49549940476190474,0.481262432052334,0.4851267780760732,,,SVM (Nyström)
svm_nystroem,2024,"{'n_components': 500, 'alpha': 1e-05}",1050000,10080000,55.6,22.8,2.262,1169664,1616.4,0.5022719246031746,0.6027263095238096,0.5404052860484998,0.45033773837374996,0.5230872223385276,Apple M3 8GB (4P+4E),4,0.5102084325396825,0.49726711535367485,0.5157709568124494,,,SVM (Nyström)
svm_nystroem,42,"{'n_components': 500, 'alpha': 1e-05}",1050000,10080000,50.84,21.7,2.153,1169536,2050.4,0.48451984126984127,0.5814238095238095,0.4839647532391518,0.4033039610326265,0.4867645379575446,Apple M3 8GB (4P+4E),4,0.49245634920634923,0.4496698473864436,0.4799563070234092,,,SVM (Nyström)
svm_nystroem,555,"{'n_components': 500, 'alpha': 1e-05}",1050000,10080000,53.46,20.48,2.032,1168989,1735.6,0.49955446428571426,0.5994653571428571,0.5513020005274734,0.45941833377289454,0.5194766567848703,Apple M3 8GB (4P+4E),4,0.5074909722222222,0.50609019148126,0.5122108911661915,,,SVM (Nyström)
svm_nystroem,7,"{'n_components': 500, 'alpha': 1e-05}",1050000,10080000,56.9,21.78,2.161,1170539,1779.0,0.4774494047619048,0.5729392857142857,0.46115410109865934,0.38429508424888276,0.47814423560469393,Apple M3 8GB (4P+4E),4,0.4853859126984127,0.42986623424841464,0.4714565742777582,,,SVM (Nyström)
xgboost,123,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.1}",1050000,10080000,538.82,315.73,31.323,13586407,1582.9,0.7635849206349207,0.8147693086080587,0.8169039465932519,0.778333131955354,0.7492385792609754,Apple M3 8GB (4P+4E),4,0.6804110119047619,0.7289557002785693,0.6691175921082636,,,XGBoost
xgboost,2024,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.1}",1050000,10080000,520.13,316.42,31.39,13628921,1417.3,0.7642519841269841,0.8152863232600732,0.8173585961407885,0.7789193965422113,0.7499414989013833,Apple M3 8GB (4P+4E),4,0.6808176587301588,0.729317116018912,0.6695744530558805,,,XGBoost
xgboost,42,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.1}",1050000,10080000,523.01,330.54,32.792,13609567,1526.7,0.763634126984127,0.8150456639194138,0.8170573178627526,0.7783869547482212,0.749349823735431,Apple M3 8GB (4P+4E),4,0.6806664682539683,0.7291370842344667,0.6693609266003334,,,XGBoost
xgboost,555,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.1}",1050000,10080000,513.44,303.7,30.129,13615666,1266.3,0.7642489087301587,0.8153899404761903,0.8174579547675366,0.7789731263025457,0.7499620918133707,Apple M3 8GB (4P+4E),4,0.6808395833333334,0.7293861560185659,0.6695757155445815,,,XGBoost
xgboost,7,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.1}",1050000,10080000,531.09,318.07,31.554,13582266,1845.6,0.7637050595238095,0.8152594368131868,0.8172400267296825,0.7784821090339911,0.7494490098951188,Apple M3 8GB (4P+4E),4,0.6808165674603175,0.729306261956147,0.6695012303681074,,,XGBoost
